No,Flight date,Dep time,Arr time,Transit Arr time,Transit Dep time,ExpectedId,Flight no.,Departure port,Departure country,Transit port,Transit country,Arrival port,Arrival country,Flight direction,First name,Last name,Date of birth,Sex,Passenger Type,Doc Type,Issue date,Expiry date,Nationality,Document no,Remark,Header time
1,11/6/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02306E+11,SA02,REP,KH,BKK,TH,HKG,HK,Departure,AC,CC,2/4/1994,Male,Passenger,P,1/7/2015,30/7/2026,JPN,CC26371056,เคสธรรมดา ไม่ติอ Risk M P P,4:50:00
2,21/3/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02303E+11,TA2,REP,KH,BKK,TH,HKG,HK,Departure,ABCD,CC,5/4/1988,Male,Passenger,P,1/7/2015,30/7/2026,JPN,CC26071120,เคสธรรมดา ไม่ติอ Risk F C P,4:50:00
3,21/3/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02303E+11,TA2,REP,KH,BKK,TH,HKG,HK,Departure,NINEF,F,15/3/1999,Unspecified,Passenger,P,1/7/2015,30/7/2026,JPN,BJ18031524,เคสธรรมดา ไม่ติอ Risk S X P,4:50:00
4,21/3/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02303E+11,TA2,REP,KH,BKK,TH,HKG,HK,Departure,NINEB,BB,10/4/1994,Unknown,Passenger,P,1/7/2015,30/7/2026,JPN,CC26071155,เคสธรรมดา ไม่ติอ Risk U X P,4:50:00
5,9/3/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02303E+11,TA2,REP,KH,BKK,TH,HKG,HK,Departure,NINEBB,BBB,12/4/1994,Male,Passenger,P,1/7/2015,30/7/2026,ATF,CC26071207,เคสธรรมดา ไม่ติอ Risk M X P,4:50:00
6,9/3/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02303E+11,TA2,REP,KH,BKK,TH,HKG,HK,Departure,FIONA,BENJY,29/7/1989,Female,Passenger,P,1/7/2015,30/7/2026,ATF,BJ18031527,เคสธรรมดา ไม่ติอ Risk F X P,4:50:00
7,9/3/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02303E+11,TA2,REP,KH,BKK,TH,HKG,HK,Departure,G,BENJY,4/5/1999,Unspecified,OperatingCrew,P,1/7/2015,30/7/2026,LAO,BJ18031528,เคสธรรมดา ไม่ติอ Risk S C P,4:50:00
8,9/3/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02303E+11,TA2,REP,KH,BKK,TH,HKG,HK,Departure,H,BENJY,1878-12-23,Unknown,PositioningCrew,P,1/7/2015,30/7/2026,JPN,BJ18031529,เคสธรรมดา ไม่ติอ Risk U C P,4:50:00
9,9/3/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02303E+11,TA2,REP,KH,BKK,TH,HKG,HK,Departure,I,BENJY,24/12/1978,Male,OperatingCrew,P,1/7/2015,30/7/2026,AUS,BJ18031530,เคสธรรมดา ไม่ติอ Risk M C P,4:50:00
10,9/3/2023,5:00:00,23:30:00,12:00:00,18:00:00,2.02303E+12,TA2,REP,KH,BKK,TH,HKG,HK,Departure,JANYA,BENJY,18/7/1995,Female,OperatingCrew,O,1/7/2015,30/7/2026,AUS,BJ18031531,เคสธรรมดา ไม่ติอ Risk F C O,4:50:00
